OBJECTID,SMPL_PNT,SMPL_DATE,PRMT_CODE,PRMT_VL,PRMT_ORGN_SIGN
101,DR01,2017/07/04 10:13:51+00,Unionised Ammonia (MGL),0,=
413,DR01,2017/09/05 09:37:40+00,Unionised Ammonia (MGL),0.003,=
467,DR01,2017/03/07 10:35:10+00,Unionised Ammonia (MGL),0.005,=
508,DR01,2017/08/01 10:58:02+00,Unionised Ammonia (MGL),0.005,=
513,DR01,2017/12/05 09:41:47+00,Unionised Ammonia (MGL),0.005,=
569,DR01,2017/10/03 09:25:41+00,Unionised Ammonia (MGL),0.007,=
592,DR01,2017/11/02 00:00:00+00,Unionised Ammonia (MGL),0.007,=
688,DR01,2017/02/07 09:20:34+00,Unionised Ammonia (MGL),0.013,=
772,DR01,2017/06/06 08:40:55+00,Unionised Ammonia (MGL),0.016,=
1028,DR01,2017/05/02 00:00:00+00,Unionised Ammonia (MGL),0.028,=
1270,DR01,2017/01/10 09:51:33+00,Unionised Ammonia (MGL),0.043,=
1448,DR01,2017/12/05 09:41:47+00,Nitrate + Nitrite as Nitrogen (MGL),0.054,=
1917,DR01,2017/07/04 10:13:51+00,Ortho-Phosphate (MGL),0.098,=
1973,DR01,2017/04/04 09:32:55+00,Unionised Ammonia (MGL),0.101,=
1987,DR01,2017/02/07 09:20:34+00,Ortho-Phosphate (MGL),0.102,=
2232,DR01,2017/07/04 10:13:51+00,ammonia (MGL),0.12,=
2263,DR01,2017/12/05 09:41:47+00,Ortho-Phosphate (MGL),0.124,=
2276,DR01,2017/11/02 00:00:00+00,Ortho-Phosphate (MGL),0.122,=
2321,DR01,2017/10/03 09:25:41+00,Ortho-Phosphate (MGL),0.13,=
2425,DR01,2017/09/05 09:37:40+00,Nitrate + Nitrite as Nitrogen (MGL),0.14,=
2426,DR01,2017/09/05 09:37:40+00,Ortho-Phosphate (MGL),0.14,=
2556,DR01,2017/03/07 10:35:10+00,Ortho-Phosphate (MGL),0.158,=
2671,DR01,2017/10/03 09:25:41+00,Nitrate + Nitrite as Nitrogen (MGL),0.176,=
3122,DR01,2017/01/10 09:51:33+00,Ortho-Phosphate (MGL),0.272,=
3139,DR01,2017/08/01 10:58:02+00,Ortho-Phosphate (MGL),0.276,=
3153,DR01,2017/05/02 00:00:00+00,Ortho-Phosphate (MGL),0.274,=
3434,DR01,2017/06/06 08:40:55+00,Ortho-Phosphate (MGL),0.354,=
4038,DR01,2017/06/06 08:40:55+00,Dissolved Oxygen (MGL),0.52,=
4177,DR01,2017/08/01 10:58:02+00,Nitrate + Nitrite as Nitrogen (MGL),0.592,=
4317,DR01,2017/04/04 09:32:55+00,Dissolved Oxygen (MGL),0.63,=
4367,DR01,2017/03/07 10:35:10+00,ammonia (MGL),0.659,=
4603,DR01,2017/09/05 09:37:40+00,ammonia (MGL),0.79,=
4679,DR01,2017/01/10 09:51:33+00,Dissolved Oxygen (MGL),0.8,=
4951,DR01,2017/03/07 10:35:10+00,Dissolved Oxygen (MGL),0.97,=
4989,DR01,2017/04/04 09:32:55+00,Ortho-Phosphate (MGL),0.996,=
5183,DR01,2017/11/02 00:00:00+00,ammonia (MGL),1.048,=
5348,DR01,2017/12/05 09:41:47+00,ammonia (MGL),1.18,=
5359,DR01,2017/10/03 09:25:41+00,ammonia (MGL),1.196,=
