"site_order","site_description","site_id","category","coastline","long","lat","active","site_id-2","sample_date","sample_time","analysis_completed","sample_temp_c","censored_value","numeric_value","filename","lab_code","monitoring_group"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-07-15","10:38:00","2025-07-17","3.8","9","9","Infinity Environmental AD.189.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-07-15","10:15:00","2025-07-17","3.8","2","2","Infinity Environmental AD.189.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-07-15","10:10:00","2025-07-17","3.8","6","6","Infinity Environmental AD.189.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-07-15","08:19:00","2025-07-17","4.2","53","53","Oelofse G.126.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-07-15","08:11:00","2025-07-17","4.2","39","39","Oelofse G.126.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-07-14","10:15:00","2025-07-16","3.2","9","9","Infinity Environmental AD.188.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-07-14","10:04:00","2025-07-16","3.2","3","3","Infinity Environmental AD.188.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-07-14","10:00:00","2025-07-16","3.2","12","12","Infinity Environmental AD.188.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-07-14","08:10:00","2025-07-16","4.6","99","99","Oelofse G.125.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-07-14","08:01:00","2025-07-16","4.6","64","64","Oelofse G.125.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-07-11","10:16:00","2025-07-13","1.2","42","42","Infinity Environmental AD.187.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-07-11","10:05:00","2025-07-13","1.2","40","40","Infinity Environmental AD.187.pdf","WLAB","daily"
