"sample_date","sample_time","analysis_completed","sample_id","site_id","sample_temp_c","enterococci_cfu_per_100ml","filename","lab_code"
"2025-06-10",NULL,NULL,"XCN03","XCN03",NULL,"<1","Coastal adhocs 2025-06-10","SSVC"
"2025-06-10",NULL,NULL,"XCN03","XCN03",NULL,"4","Coastal adhocs 2025-06-10","SSVC"
"2025-06-10",NULL,NULL,"XCN03","XCN03",NULL,"6","Coastal adhocs 2025-06-10","SSVC"
"2025-05-13",NULL,NULL,"XCN03","XCN03",NULL,"<1","Coastal adhocs 2025-05-13","SSVC"
"2025-06-02",NULL,NULL,"XCN12","XCN12",NULL,"41","coastal ad hocs 2025-06-02","SSVC"
"2025-06-02",NULL,NULL,"XCN12","XCN12",NULL,"61","coastal ad hocs 2025-06-02","SSVC"
"2025-06-02",NULL,NULL,"XCN12","XCN12",NULL,"66","coastal ad hocs 2025-06-02","SSVC"
"2025-05-06",NULL,NULL,"CN11","CN11",NULL,"9","coastal ad hocs 2025-05-06","SSVC"
"2025-05-06",NULL,NULL,"CN11","CN11",NULL,"11","coastal ad hocs 2025-05-06","SSVC"
"2025-04-01","10:50:00","2025-04-03","CN11A","CN11","7.1","ND","Infinity Environmental AD.92(CN).pdf","WLAB"
"2025-04-01","10:50:00","2025-04-03","CN11B","CN11","7.1","ND","Infinity Environmental AD.92(CN).pdf","WLAB"
"2025-04-01","10:50:00","2025-04-03","CN11C","CN11","7.1","ND","Infinity Environmental AD.92(CN).pdf","WLAB"
"2025-04-03","09:23:00","2025-04-05","CS34A","CS34","5.6","3","Infinity Environmental AD.94(CS).pdf","WLAB"
"2025-04-03","09:23:00","2025-04-05","CS34B","CS34","5.6","5","Infinity Environmental AD.94(CS).pdf","WLAB"
"2025-04-03","09:23:00","2025-04-05","CS34C","CS34","5.6","8","Infinity Environmental AD.94(CS).pdf","WLAB"
"2025-04-07",NULL,"2025-04-09","XCN04A","XCN04","8.2","22","Infinity Environmental AD.98(CN).pdf","WLAB"
"2025-04-07",NULL,"2025-04-09","XCN04B","XCN04","8.2","20","Infinity Environmental AD.98(CN).pdf","WLAB"
"2025-04-07",NULL,"2025-04-09","XCN04C","XCN04","8.2","22","Infinity Environmental AD.98(CN).pdf","WLAB"
"2025-05-05","10:45:00","2025-05-07","XCN12A","XCN12","3.1","ND","Infinity Environmental AD.117(LB).pdf","WLAB"
"2025-05-05","10:45:00","2025-05-07","XCN12B","XCN12","3.1","1","Infinity Environmental AD.117(LB).pdf","WLAB"
"2025-05-05","10:45:00","2025-05-07","XCN12C","XCN12","3.1","4","Infinity Environmental AD.117(LB).pdf","WLAB"
"2025-05-06","10:55:00","2025-05-08","CN11A","CN11","7.1","3","Infinity Environmental AD.119(FB).pdf","WLAB"
"2025-05-06","10:55:00","2025-05-08","CN11B","CN11","7.1","4","Infinity Environmental AD.119(FB).pdf","WLAB"
"2025-05-06","10:55:00","2025-05-08","CN11C","CN11","7.1","3","Infinity Environmental AD.119(FB).pdf","WLAB"
"2025-05-13","10:25:00","2025-05-15","XCN03A","XCN03","4.0","2","Infinity Environmental AD.126(FB).pdf","WLAB"
"2025-05-13","10:25:00","2025-05-15","XCN03B","XCN03","4.0","ND","Infinity Environmental AD.126(FB).pdf","WLAB"
"2025-05-13","10:25:00","2025-05-15","XCN03C","XCN03","4.0","2","Infinity Environmental AD.126(FB).pdf","WLAB"
