date,value_cfu_per_100ml,site_id,source,censored_value
2020-10-06,39,CN06,CMB,39
2020-10-20,0.3333333333333333,CN06,CMB,<1
2020-11-03,0.3333333333333333,CN06,CMB,<1
2020-12-15,0.3333333333333333,CN06,CMB,<1
2021-01-12,0.3333333333333333,CN06,CMB,<1
2021-01-26,36,CN06,CMB,36
2021-02-09,14,CN06,CMB,14
2021-02-23,10,CN06,CMB,10
2021-03-09,49,CN06,CMB,49
2021-04-07,8,CN06,CMB,8
2021-07-06,32,CN06,CMB,32
2021-07-27,0.3333333333333333,CN06,CMB,<1
2021-10-05,1,CN06,CMB,1
2021-11-16,10,CN06,CMB,10
2022-01-25,70,CN06,CMB,70
2022-12-13,0.3333333333333333,CN06,CMB,<1
2023-01-03,0.3333333333333333,CN12A,CMB,<1
2023-04-04,59,CN06,CMB,59
2023-06-05,7,CN06,CMB,7
2023-10-03,0.3333333333333333,CN06,CMB,<1
2023-10-03,0.3333333333333333,CN09,CMB,<1
2023-10-03,3,CN12A,CMB,3
2023-10-03,450,CN22,CMB,>150
2023-10-03,2,CN31,CMB,2
2023-10-03,0.3333333333333333,CS03,CMB,<1
2023-10-03,0.3333333333333333,CS04,CMB,<1
2023-10-03,0.3333333333333333,CS13,CMB,<1
2023-10-03,77,CS34,CMB,77
2023-10-03,21,CS35,CMB,21
2023-10-03,22,XCN04,CMB,22
2023-10-03,450,XCN10,CMB,>150
2023-10-03,23,XCS13,CMB,23
2023-10-03,5,XCS14,CMB,5
2023-10-03,8,XCS18,CMB,8
2023-10-03,0.33333,XCS26,CMB,<1
2023-10-03,30,XCS30,CMB,30
2023-10-04,6,XCN02,CMB,6
2023-10-10,0.3333333333333333,CN06,CMB,<1
2023-10-10,0.3333333333333333,CN09,CMB,<1
2023-10-10,78,CN12A,CMB,78
2023-10-10,11,CN22,CMB,11
2023-10-10,6,CN31,CMB,6
2023-10-10,3,CS03,CMB,3
2023-10-10,3,CS04,CMB,3
2023-10-10,3,CS13,CMB,3
2023-10-10,24,CS34,CMB,24
2023-10-10,12,CS35,CMB,12
2023-10-10,11,XCN02,CMB,11
2023-10-10,4,XCN04,CMB,4
2023-10-10,14,XCN10,CMB,14
2023-10-10,16,XCS13,CMB,16
2023-10-10,16,XCS14,CMB,16
2023-10-10,5,XCS18,CMB,5
2023-10-10,4,XCS26,CMB,4
2023-10-10,4,XCS30,CMB,4
2023-10-17,0.3333333333333333,CN06,CMB,<1
2023-10-17,0.3333333333333333,CN09,CMB,<1
2023-10-17,0.3333333333333333,CN12A,CMB,<1
2023-10-17,9,CN22,CMB,9
2023-10-17,10,CN31,CMB,10
2023-10-17,0.3333333333333333,CS03,CMB,<1
2023-10-17,15,CS13,CMB,15
2023-10-17,1,CS35,CMB,1
2023-10-17,450,XCN04,CMB,>150
2023-10-17,0.3333333333333333,XCN10,CMB,<1
2023-10-17,0.3333333333333333,XCS13,CMB,<1
2023-10-17,450,XCS14,CMB,>150
2023-10-17,0,XCS18,CMB,ND
2023-10-17,36,XCS26,CMB,36
2023-10-17,21,XCS30,CMB,21
2023-10-18,2,XCN02,CMB,2
2023-10-24,1,CN06,CMB,1
2023-10-24,4,CN09,CMB,4
2023-10-24,450,CN12A,CMB,>150
2023-10-24,450,CN22,CMB,>150
2023-10-24,1,CN31,CMB,1
2023-10-24,0.3333333333333333,CS03,CMB,<1
2023-10-24,11,CS04,CMB,11
2023-10-24,2,CS13,CMB,2
2023-10-24,1,CS34,CMB,1
2023-10-24,20,CS35,CMB,20
2023-10-24,1,XCN02,CMB,1
2023-10-24,450,XCN04,CMB,>150
2023-10-24,106,XCN10,CMB,106
2023-10-24,450,XCS13,CMB,>150
