sample_date,site_id,lab_owner,analysis,enterococci_cfu_per_100ml,enterococci_cfu_per_100ml_numeric,sample_number
2008-05-14,CN02A,MICRO,ENTERO,9,9,329764
2007-07-25,CN03,MICRO,ENTERO,>150,450,120205
2007-08-08,CN03,MICRO,ENTERO,6,6,181962
2007-08-22,CN03,MICRO,ENTERO,62,62,182011
2005-08-24,CN03,MICRO,ENTERO,18,18,191606
2005-09-07,CN03,MICRO,ENTERO,5,5,191607
2005-09-21,CN03,MICRO,ENTERO,13,13,191608
2005-10-05,CN03,MICRO,ENTERO,<1,0.3333333333333333,191609
2005-10-19,CN03,MICRO,ENTERO,17,17,191610
2005-11-02,CN03,MICRO,ENTERO,16,16,191611
2005-11-16,CN03,MICRO,ENTERO,<1,0.3333333333333333,191612
2005-11-30,CN03,MICRO,ENTERO,18,18,191613
2005-12-14,CN03,MICRO,ENTERO,1,1,191614
2005-12-28,CN03,MICRO,ENTERO,11,11,191615
2006-01-11,CN03,MICRO,ENTERO,6,6,191616
2006-01-25,CN03,MICRO,ENTERO,4,4,191617
2006-02-08,CN03,MICRO,ENTERO,2,2,191618
2006-02-22,CN03,MICRO,ENTERO,3,3,191619
2006-03-08,CN03,MICRO,ENTERO,8,8,191620
2006-03-22,CN03,MICRO,ENTERO,2,2,191621
2006-04-05,CN03,MICRO,ENTERO,2,2,191622
2006-04-19,CN03,MICRO,ENTERO,1,1,191623
2006-05-03,CN03,MICRO,ENTERO,14,14,191624
2006-05-17,CN03,MICRO,ENTERO,6300,6300,191625
2006-05-31,CN03,MICRO,ENTERO,5,5,191626
2006-06-14,CN03,MICRO,ENTERO,39,39,191627
2006-06-28,CN03,MICRO,ENTERO,15,15,191628
2006-07-12,CN03,MICRO,ENTERO,200,200,191629
2006-07-26,CN03,MICRO,ENTERO,9,9,191630
2006-08-23,CN03,MICRO,ENTERO,<1,0.3333333333333333,191631
2006-09-06,CN03,MICRO,ENTERO,8,8,191632
2006-09-20,CN03,MICRO,ENTERO,60,60,191633
2006-10-04,CN03,MICRO,ENTERO,8,8,191634
2006-10-18,CN03,MICRO,ENTERO,16,16,191635
2006-11-01,CN03,MICRO,ENTERO,4,4,191636
2006-11-15,CN03,MICRO,ENTERO,40,40,191637
2006-11-29,CN03,MICRO,ENTERO,6,6,191638
2006-12-13,CN03,MICRO,ENTERO,<1,0.3333333333333333,191639
2006-12-27,CN03,MICRO,ENTERO,6,6,191640
2007-01-10,CN03,MICRO,ENTERO,1,1,191641
2007-01-24,CN03,MICRO,ENTERO,1,1,191642
2007-02-07,CN03,MICRO,ENTERO,<1,0.3333333333333333,191643
2007-02-21,CN03,MICRO,ENTERO,59,59,191644
2007-03-07,CN03,MICRO,ENTERO,>5000,15000,191645
2007-04-04,CN03,MICRO,ENTERO,<1,0.3333333333333333,191646
2007-04-18,CN03,MICRO,ENTERO,66,66,191647
2007-05-02,CN03,MICRO,ENTERO,25,25,191648
2007-05-30,CN03,MICRO,ENTERO,29,29,191649
2007-09-05,CN03,MICRO,ENTERO,200,200,230494
2007-09-19,CN03,MICRO,ENTERO,2,2,230539
2007-10-03,CN03,MICRO,ENTERO,26,26,235402
2007-10-17,CN03,MICRO,ENTERO,<1,0.3333333333333333,242098
2007-10-31,CN03,MICRO,ENTERO,5,5,242159
2007-11-14,CN03,MICRO,ENTERO,3,3,288332
2007-11-28,CN03,MICRO,ENTERO,2,2,290386
2007-12-12,CN03,MICRO,ENTERO,14,14,295586
2008-01-09,CN03,MICRO,ENTERO,3,3,297822
2008-01-23,CN03,MICRO,ENTERO,83,83,299829
2008-02-06,CN03,MICRO,ENTERO,<1,0.3333333333333333,305230
2008-02-20,CN03,MICRO,ENTERO,1,1,307443
2008-03-05,CN03,MICRO,ENTERO,5,5,315671
2008-03-19,CN03,MICRO,ENTERO,200,200,318178
2008-04-02,CN03,MICRO,ENTERO,61,61,322164
2008-04-16,CN03,MICRO,ENTERO,3,3,325730
2008-04-30,CN03,MICRO,ENTERO,<1,0.3333333333333333,327628
2008-05-14,CN03,MICRO,ENTERO,23,23,329756
2008-05-28,CN03,MICRO,ENTERO,14,14,332156
2008-06-11,CN03,MICRO,ENTERO,500,500,334624
2008-06-25,CN03,MICRO,ENTERO,4,4,337777
2008-07-09,CN03,MICRO,ENTERO,300,300,340283
2008-07-23,CN03,MICRO,ENTERO,7,7,342634
2008-08-06,CN03,MICRO,ENTERO,7,7,344963
2008-08-20,CN03,MICRO,ENTERO,<1,0.3333333333333333,351868
2008-09-03,CN03,MICRO,ENTERO,17,17,374439
2008-09-17,CN03,MICRO,ENTERO,9,9,376815
2008-10-01,CN03,MICRO,ENTERO,3,3,383720
2008-10-15,CN03,MICRO,ENTERO,200,200,393082
2008-10-29,CN03,MICRO,ENTERO,<1,0.3333333333333333,406975
2008-11-12,CN03,MICRO,ENTERO,4400,4400,410344
2008-11-26,CN03,MICRO,ENTERO,<1,0.3333333333333333,414433
2008-12-10,CN03,MICRO,ENTERO,7,7,419026
2008-12-22,CN03,MICRO,ENTERO,10,10,420491
2009-01-07,CN03,MICRO,ENTERO,4,4,421604
2009-01-21,CN03,MICRO,ENTERO,100,100,423881
2009-02-04,CN03,MICRO,ENTERO,1,1,426568
2009-02-18,CN03,MICRO,ENTERO,200,200,429114
2009-03-04,CN03,MICRO,ENTERO,2,2,431741
2009-03-18,CN03,MICRO,ENTERO,44,44,434360
2009-04-01,CN03,MICRO,ENTERO,<1,0.3333333333333333,436837
2009-04-15,CN03,MICRO,ENTERO,3,3,439874
2009-04-29,CN03,MICRO,ENTERO,31,31,441812
2009-05-13,CN03,MICRO,ENTERO,46,46,444048
2009-05-27,CN03,MICRO,ENTERO,40,40,446669
2009-06-10,CN03,MICRO,ENTERO,200,200,449105
2009-06-24,CN03,MICRO,ENTERO,150,150,451287
2009-07-08,CN03,MICRO,ENTERO,33,33,453467
2009-07-22,CN03,MICRO,ENTERO,104,104,456236
2009-08-05,CN03,MICRO,ENTERO,18,18,458318
2009-08-19,CN03,MICRO,ENTERO,94,94,460464
2009-09-02,CN03,MICRO,ENTERO,66,66,462887
2009-09-16,CN03,MICRO,ENTERO,1,1,465289
2009-09-30,CN03,MICRO,ENTERO,<1,0.3333333333333333,467386
2009-10-14,CN03,MICRO,ENTERO,3,3,476613
2009-10-28,CN03,MICRO,ENTERO,<1,0.3333333333333333,490663
2009-11-11,CN03,MICRO,ENTERO,>5000,15000,493063
2009-11-25,CN03,MICRO,ENTERO,9,9,495511
2009-12-09,CN03,MICRO,ENTERO,4,4,497989
2009-12-22,CN03,MICRO,ENTERO,2,2,499440
2010-01-06,CN03,MICRO,ENTERO,79,79,500654
2010-01-20,CN03,MICRO,ENTERO,6,6,502899
2010-02-03,CN03,MICRO,ENTERO,50,50,505454
2010-02-17,CN03,MICRO,ENTERO,4,4,508030
2010-03-03,CN03,MICRO,ENTERO,3,3,510548
2010-03-17,CN03,MICRO,ENTERO,81,81,512833
2010-03-30,CN03,MICRO,ENTERO,36,36,514503
2010-04-14,CN03,MICRO,ENTERO,7,7,516388
2010-04-28,CN03,MICRO,ENTERO,2,2,518200
2010-05-12,CN03,MICRO,ENTERO,11,11,520134
2010-05-26,CN03,MICRO,ENTERO,5,5,522293
2010-06-09,CN03,MICRO,ENTERO,148,148,524149
2010-06-23,CN03,MICRO,ENTERO,6,6,526059
2010-07-07,CN03,MICRO,ENTERO,5,5,528031
2010-07-21,CN03,MICRO,ENTERO,8,8,529958
2010-08-04,CN03,MICRO,ENTERO,1,1,531996
2010-08-18,CN03,MICRO,ENTERO,<1,0.3333333333333333,533729
2010-09-01,CN03,MICRO,ENTERO,11,11,535717
2010-09-15,CN03,MICRO,ENTERO,8,8,551283
2010-09-29,CN03,MICRO,ENTERO,<1,0.3333333333333333,553220
2010-10-13,CN03,MICRO,ENTERO,<1,0.3333333333333333,555713
2010-10-27,CN03,MICRO,ENTERO,13,13,558179
2010-11-10,CN03,MICRO,ENTERO,1,1,560377
2010-11-24,CN03,MICRO,ENTERO,5,5,562625
2010-12-08,CN03,MICRO,ENTERO,57,57,565229
2010-12-22,CN03,MICRO,ENTERO,650,650,576204
2011-01-05,CN03,MICRO,ENTERO,11,11,577556
2011-01-19,CN03,MICRO,ENTERO,139,139,579607
2011-02-02,CN03,MICRO,ENTERO,1,1,582232
2011-02-16,CN03,MICRO,ENTERO,71,71,584772
2011-03-02,CN03,MICRO,ENTERO,<1,0.3333333333333333,591747
2011-03-16,CN03,MICRO,ENTERO,12,12,594140
2011-03-30,CN03,MICRO,ENTERO,1600,1600,596463
2011-04-13,CN03,MICRO,ENTERO,12,12,598933
2011-04-28,CN03,MICRO,ENTERO,90,90,602332
2011-05-11,CN03,MICRO,ENTERO,400,400,604323
2011-05-25,CN03,MICRO,ENTERO,96,96,606697
2011-06-08,CN03,MICRO,ENTERO,6,6,609183
2011-06-22,CN03,MICRO,ENTERO,7,7,611393
2011-07-06,CN03,MICRO,ENTERO,4,4,614096
2011-07-20,CN03,MICRO,ENTERO,3,3,616961
2011-08-03,CN03,MICRO,ENTERO,11,11,619825
2011-08-17,CN03,MICRO,ENTERO,<1,0.3333333333333333,622261
2011-08-31,CN03,MICRO,ENTERO,14,14,625048
2011-09-14,CN03,MICRO,ENTERO,5,5,627685
2011-09-28,CN03,MICRO,ENTERO,16,16,630627
2011-10-12,CN03,MICRO,ENTERO,<1,0.3333333333333333,633743
2011-10-26,CN03,MICRO,ENTERO,<1,0.3333333333333333,636760
2011-11-09,CN03,MICRO,ENTERO,5,5,639533
2011-11-23,CN03,MICRO,ENTERO,2,2,642586
2011-12-07,CN03,MICRO,ENTERO,1,1,645688
2011-12-21,CN03,MICRO,ENTERO,67,67,648173
2012-01-04,CN03,MICRO,ENTERO,1,1,649699
2012-01-18,CN03,MICRO,ENTERO,<1,0.3333333333333333,651466
2012-02-01,CN03,MICRO,ENTERO,1,1,654746
2012-02-15,CN03,MICRO,ENTERO,<1,0.3333333333333333,657687
2012-02-29,CN03,MICRO,ENTERO,<1,0.3333333333333333,660875
2012-03-14,CN03,MICRO,ENTERO,2,2,663892
2012-03-28,CN03,MICRO,ENTERO,4,4,666509
2012-04-11,CN03,MICRO,ENTERO,13,13,668490
2012-04-25,CN03,MICRO,ENTERO,9,9,670843
2012-05-09,CN03,MICRO,ENTERO,4,4,673287
2012-05-23,CN03,MICRO,ENTERO,<1,0.3333333333333333,676015
2012-06-06,CN03,MICRO,ENTERO,58,58,678769
2012-06-20,CN03,MICRO,ENTERO,<1,0.3333333333333333,681297
2012-07-04,CN03,MICRO,ENTERO,11,11,683962
2012-07-18,CN03,MICRO,ENTERO,100,100,686478
2012-08-01,CN03,MICRO,ENTERO,1,1,689162
2012-08-15,CN03,MICRO,ENTERO,31,31,691527
2012-08-29,CN03,MICRO,ENTERO,14,14,694091
2012-09-12,CN03,MICRO,ENTERO,1,1,696687
2012-09-26,CN03,MICRO,ENTERO,1,1,698998
2012-10-10,CN03,MICRO,ENTERO,<1,0.3333333333333333,701585
2012-10-24,CN03,MICRO,ENTERO,<1,0.3333333333333333,704255
2012-11-07,CN03,MICRO,ENTERO,<1,0.3333333333333333,707082
2012-11-21,CN03,MICRO,ENTERO,<1,0.3333333333333333,709758
2012-12-05,CN03,MICRO,ENTERO,<1,0.3333333333333333,712338
2012-12-19,CN03,MICRO,ENTERO,1,1,714780
2013-01-02,CN03,MICRO,ENTERO,4,4,715511
2013-01-16,CN03,MICRO,ENTERO,9,9,717781
2013-01-30,CN03,MICRO,ENTERO,4,4,720347
2013-02-13,CN03,MICRO,ENTERO,53,53,722998
2013-02-27,CN03,MICRO,ENTERO,23,23,725537
2013-03-13,CN03,MICRO,ENTERO,2,2,728093
2013-03-27,CN03,MICRO,ENTERO,38,38,730187
2013-04-10,CN03,MICRO,ENTERO,10,10,732186
2013-04-24,CN03,MICRO,ENTERO,18,18,734632
2013-05-08,CN03,MICRO,ENTERO,1,1,736731
2013-05-22,CN03,MICRO,ENTERO,32,32,739263
2013-06-05,CN03,MICRO,ENTERO,22,22,741693
2013-06-19,CN03,MICRO,ENTERO,21,21,743977
2013-07-03,CN03,MICRO,ENTERO,1,1,746666
2013-07-17,CN03,MICRO,ENTERO,150,150,749068
2013-07-31,CN03,MICRO,ENTERO,1,1,751565
2013-08-14,CN03,MICRO,ENTERO,51,51,753816
2013-08-28,CN03,MICRO,ENTERO,40,40,756261
2013-09-11,CN03,MICRO,ENTERO,<1,0.3333333333333333,758653
2013-09-25,CN03,MICRO,ENTERO,4,4,760796
2013-10-09,CN03,MICRO,ENTERO,<1,0.3333333333333333,763483
2013-10-23,CN03,MICRO,ENTERO,5,5,766066
2013-11-06,CN03,MICRO,ENTERO,11,11,768574
2013-11-20,CN03,MICRO,ENTERO,2,2,771178
2013-12-04,CN03,MICRO,ENTERO,7,7,773899
2013-12-18,CN03,MICRO,ENTERO,1,1,776222
2014-01-02,CN03,MICRO,ENTERO,15,15,777846
2014-01-15,CN03,MICRO,ENTERO,1,1,779737
2014-01-29,CN03,MICRO,ENTERO,65,65,782424
2014-02-12,CN03,MICRO,ENTERO,26,26,785161
2014-02-26,CN03,MICRO,ENTERO,16,16,789960
2014-03-12,CN03,MICRO,ENTERO,44,44,792771
2014-03-26,CN03,MICRO,ENTERO,550,550,795427
2014-04-09,CN03,MICRO,ENTERO,750,750,798018
2014-04-23,CN03,MICRO,ENTERO,5,5,800070
2014-05-08,CN03,MICRO,ENTERO,14,14,802170
2014-05-21,CN03,MICRO,ENTERO,31,31,804556
2014-06-04,CN03,MICRO,ENTERO,900,900,807078
2014-06-18,CN03,MICRO,ENTERO,41,41,810211
2014-07-02,CN03,MICRO,ENTERO,4,4,813245
2014-07-16,CN03,MICRO,ENTERO,9,9,815588
2014-07-30,CN03,MICRO,ENTERO,<1,0.3333333333333333,817987
2014-08-13,CN03,MICRO,ENTERO,38,38,820575
2014-08-27,CN03,MICRO,ENTERO,350,350,823113
2014-09-10,CN03,MICRO,ENTERO,11,11,825278
2014-09-25,CN03,MICRO,ENTERO,6,6,827725
2014-10-08,CN03,MICRO,ENTERO,7,7,829793
2014-10-22,CN03,MICRO,ENTERO,27,27,832432
2014-11-05,CN03,MICRO,ENTERO,<1,0.3333333333333333,835129
2014-11-19,CN03,MICRO,ENTERO,1,1,837618
2014-12-03,CN03,MICRO,ENTERO,1,1,840117
2014-12-17,CN03,MICRO,ENTERO,<1,0.3333333333333333,842546
2014-12-30,CN03,MICRO,ENTERO,11,11,844098
2015-01-14,CN03,MICRO,ENTERO,17,17,846118
2015-01-28,CN03,MICRO,ENTERO,49,49,848854
2015-02-11,CN03,MICRO,ENTERO,2,2,851583
2015-02-25,CN03,MICRO,ENTERO,1,1,854276
2015-03-11,CN03,MICRO,ENTERO,4,4,856957
2015-03-25,CN03,MICRO,ENTERO,44,44,859968
2015-04-08,CN03,MICRO,ENTERO,3,3,862376
2015-04-22,CN03,MICRO,ENTERO,3,3,864977
2015-05-06,CN03,MICRO,ENTERO,39,39,867183
2015-05-20,CN03,MICRO,ENTERO,8,8,869778
2015-06-03,CN03,MICRO,ENTERO,1100,1100,874158
2015-06-17,CN03,MICRO,ENTERO,250,250,876576
2015-07-01,CN03,MICRO,ENTERO,6,6,879116
2015-07-15,CN03,MICRO,ENTERO,3,3,881306
2015-07-29,CN03,MICRO,ENTERO,18,18,883577
2015-08-12,CN03,MICRO,ENTERO,5,5,885955
2015-08-26,CN03,MICRO,ENTERO,26,26,888272
2015-09-09,CN03,MICRO,ENTERO,3,3,890627
2015-09-23,CN03,MICRO,ENTERO,<1,0.3333333333333333,893139
2015-10-21,CN03,MICRO,ENTERO,2,2,897898
2015-11-04,CN03,MICRO,ENTERO,4,4,900907
2015-11-18,CN03,MICRO,ENTERO,1,1,903635
2015-12-02,CN03,MICRO,ENTERO,<1,0.3333333333333333,906385
2015-12-29,CN03,MICRO,ENTERO,64,64,911052
2016-01-06,CN03,MICRO,ENTERO,66,66,912326
2016-01-13,CN03,MICRO,ENTERO,21,21,913666
2016-01-27,CN03,MICRO,ENTERO,26,26,916648
2016-02-10,CN03,MICRO,ENTERO,1,1,919379
2016-02-24,CN03,MICRO,ENTERO,1,1,921887
2016-03-09,CN03,MICRO,ENTERO,2,2,924646
2016-03-22,CN03,MICRO,ENTERO,<1,0.3333333333333333,926824
2016-04-06,CN03,MICRO,ENTERO,3,3,929567
2016-04-20,CN03,MICRO,ENTERO,1,1,932250
2016-05-04,CN03,MICRO,ENTERO,12,12,934387
2016-05-18,CN03,MICRO,ENTERO,49,49,936909
2016-06-01,CN03,MICRO,ENTERO,49,49,939702
2016-06-15,CN03,MICRO,ENTERO,30,30,942279
2016-06-29,CN03,MICRO,ENTERO,22,22,944803
