site_name,sample_date,censored_value
Seaforth,2017-11-24T00:00:00Z,7
Seaforth,2017-12-14T00:00:00Z,15
Seaforth,2017-12-19T00:00:00Z,2
Seaforth,2018-01-03T00:00:00Z,68
Seaforth,2018-01-10T00:00:00Z,13
Seaforth,2018-01-17T00:00:00Z,21
Seaforth,2018-01-24T00:00:00Z,7
Seaforth,2018-11-29T00:00:00Z,6
Seaforth,2018-12-06T00:00:00Z,31
Seaforth,2018-12-13T00:00:00Z,14
Seaforth,2018-12-19T00:00:00Z,42
Seaforth,2019-01-04T00:00:00Z,19
Seaforth,2019-01-10T00:00:00Z,56
Seaforth,2019-01-16T00:00:00Z,73
Seaforth,2019-01-23T00:00:00Z,>3000
Bikini Beach,2018-11-28T00:00:00Z,4
Bikini Beach,2018-12-05T00:00:00Z,3
Bikini Beach,2018-12-19T00:00:00Z,4
Bikini Beach,2019-01-03T00:00:00Z,3
Bikini Beach,2019-01-15T00:00:00Z,15
Bikini Beach,2019-01-22T00:00:00Z,19
Bikini Beach,2019-11-20T00:00:00Z,33
Bikini Beach,2019-12-04T00:00:00Z,1
Bikini Beach,2019-12-11T00:00:00Z,1
Bikini Beach,2020-01-08T00:00:00Z,21
Bikini Beach,2020-01-15T00:00:00Z,1
Bikini Beach,2020-01-22T00:00:00Z,8
Bikini Beach,2020-11-25T00:00:00Z,8
Bikini Beach,2020-12-02T00:00:00Z,7
Bikini Beach,2020-12-08T00:00:00Z,37
Bikini Beach,2020-12-15T00:00:00Z,1
Bikini Beach,2021-01-06T00:00:00Z,1
Bikini Beach,2021-01-13T00:00:00Z,1
Bikini Beach,2021-01-20T00:00:00Z,1
Bikini Beach,2021-01-27T00:00:00Z,1
Bikini Beach,2021-11-23T00:00:00Z,5
Bikini Beach,2021-12-01T00:00:00Z,4
Bikini Beach,2021-12-08T00:00:00Z,1
Bikini Beach,2021-12-14T00:00:00Z,1
Bikini Beach,2021-12-22T00:00:00Z,1
Bikini Beach,2022-01-04T00:00:00Z,10
Bikini Beach,2022-01-11T00:00:00Z,5
Bikini Beach,2022-01-19T00:00:00Z,6
Bikini Beach,2022-01-26T00:00:00Z,1
Camps Bay,2018-11-28T00:00:00Z,1
Camps Bay,2018-12-05T00:00:00Z,1
Camps Bay,2018-12-19T00:00:00Z,46
Camps Bay,2019-01-03T00:00:00Z,88
Camps Bay,2019-01-15T00:00:00Z,1
Camps Bay,2019-01-22T00:00:00Z,2
Camps Bay,2019-11-20T00:00:00Z,6
Camps Bay,2019-12-04T00:00:00Z,4
Camps Bay,2019-12-11T00:00:00Z,2
Camps Bay,2020-01-08T00:00:00Z,1
Camps Bay,2020-01-15T00:00:00Z,4
Camps Bay,2020-01-22T00:00:00Z,17
Camps Bay,2020-02-05T00:00:00Z,1
Camps Bay,2020-02-19T00:00:00Z,1
Camps Bay,2020-03-03T00:00:00Z,2
Camps Bay,2020-03-18T00:00:00Z,5
Camps Bay,2020-11-25T00:00:00Z,6
Camps Bay,2020-12-02T00:00:00Z,1
Camps Bay,2020-12-08T00:00:00Z,44
Camps Bay,2020-12-15T00:00:00Z,3
Camps Bay,2021-01-06T00:00:00Z,26
Camps Bay,2021-01-13T00:00:00Z,7
Camps Bay,2021-01-20T00:00:00Z,9
Camps Bay,2021-01-27T00:00:00Z,3
Camps Bay,2021-02-02T00:00:00Z,15
Camps Bay,2021-02-09T00:00:00Z,1
Camps Bay,2021-02-16T00:00:00Z,12
Camps Bay,2021-02-23T00:00:00Z,66
Camps Bay,2021-03-02T00:00:00Z,13
Camps Bay,2021-03-16T00:00:00Z,15
Camps Bay,2021-11-23T00:00:00Z,5
Camps Bay,2021-12-01T00:00:00Z,4
Camps Bay,2021-12-08T00:00:00Z,8
Camps Bay,2021-12-14T00:00:00Z,12
Camps Bay,2021-12-22T00:00:00Z,4
Camps Bay,2022-01-04T00:00:00Z,11
Camps Bay,2022-01-12T00:00:00Z,3
Camps Bay,2022-01-20T00:00:00Z,1
Camps Bay,2022-01-26T00:00:00Z,2
Camps Bay,2022-02-02T00:00:00Z,18
Camps Bay,2022-02-16T00:00:00Z,2
Camps Bay,2022-03-03T00:00:00Z,15
Camps Bay,2022-03-15T00:00:00Z,6
Camps Bay,2022-03-31T00:00:00Z,37
Clifton Fourth,2018-11-28T00:00:00Z,9
Clifton Fourth,2018-12-05T00:00:00Z,1
Clifton Fourth,2018-12-19T00:00:00Z,21
Clifton Fourth,2019-01-03T00:00:00Z,3
Clifton Fourth,2019-01-15T00:00:00Z,8
Clifton Fourth,2019-01-22T00:00:00Z,1
Clifton Fourth,2019-11-20T00:00:00Z,2
Clifton Fourth,2019-12-04T00:00:00Z,5
Clifton Fourth,2019-12-11T00:00:00Z,1
Clifton Fourth,2020-01-08T00:00:00Z,3
Clifton Fourth,2020-01-15T00:00:00Z,13
Clifton Fourth,2020-01-22T00:00:00Z,3
Clifton Fourth,2020-02-05T00:00:00Z,4
Clifton Fourth,2020-02-19T00:00:00Z,1
Clifton Fourth,2020-03-03T00:00:00Z,1
Clifton Fourth,2020-03-18T00:00:00Z,3
Clifton Fourth,2020-11-25T00:00:00Z,2
Clifton Fourth,2020-12-02T00:00:00Z,3
Clifton Fourth,2020-12-08T00:00:00Z,1
Clifton Fourth,2020-12-15T00:00:00Z,1
Clifton Fourth,2021-01-06T00:00:00Z,1
Clifton Fourth,2021-01-13T00:00:00Z,1
Clifton Fourth,2021-01-20T00:00:00Z,1
Clifton Fourth,2021-01-27T00:00:00Z,1
Clifton Fourth,2021-11-25T00:00:00Z,1
Clifton Fourth,2021-12-02T00:00:00Z,3
Clifton Fourth,2021-12-08T00:00:00Z,1
Clifton Fourth,2021-12-14T00:00:00Z,1
Clifton Fourth,2021-12-22T00:00:00Z,3
Clifton Fourth,2022-01-04T00:00:00Z,5
Clifton Fourth,2022-01-12T00:00:00Z,1
Clifton Fourth,2022-01-20T00:00:00Z,5
Clifton Fourth,2022-01-27T00:00:00Z,1
Fish Hoek,2018-11-28T00:00:00Z,2
Fish Hoek,2018-12-06T00:00:00Z,1
Fish Hoek,2018-12-19T00:00:00Z,8
Fish Hoek,2019-01-04T00:00:00Z,2
Fish Hoek,2019-01-16T00:00:00Z,3
Fish Hoek,2019-01-23T00:00:00Z,17
Fish Hoek,2019-11-21T00:00:00Z,10
Fish Hoek,2019-12-05T00:00:00Z,3
Fish Hoek,2019-12-12T00:00:00Z,12
Fish Hoek,2020-01-09T00:00:00Z,1
Fish Hoek,2020-01-16T00:00:00Z,1
Fish Hoek,2020-01-23T00:00:00Z,34
Fish Hoek,2020-02-06T00:00:00Z,2
Fish Hoek,2020-02-12T00:00:00Z,4
Fish Hoek,2020-02-20T00:00:00Z,23
Fish Hoek,2020-03-03T00:00:00Z,5
Fish Hoek,2020-03-19T00:00:00Z,14
Fish Hoek,2020-11-26T00:00:00Z,4
Fish Hoek,2020-12-03T00:00:00Z,1
Fish Hoek,2020-12-09T00:00:00Z,1
Fish Hoek,2020-12-17T00:00:00Z,1
Fish Hoek,2021-01-07T00:00:00Z,144
Fish Hoek,2021-01-14T00:00:00Z,10
Fish Hoek,2021-01-21T00:00:00Z,21
Fish Hoek,2021-01-28T00:00:00Z,13
Fish Hoek,2021-11-23T00:00:00Z,1
Fish Hoek,2021-12-02T00:00:00Z,>150
Fish Hoek,2021-12-09T00:00:00Z,3
Fish Hoek,2021-12-15T00:00:00Z,3
Fish Hoek,2021-12-23T00:00:00Z,4
Fish Hoek,2022-01-05T00:00:00Z,8
Fish Hoek,2022-01-11T00:00:00Z,12
Fish Hoek,2022-01-19T00:00:00Z,5
Fish Hoek,2022-01-26T00:00:00Z,15
Llandudno,2018-11-28T00:00:00Z,1
Llandudno,2018-12-05T00:00:00Z,2
Llandudno,2018-12-19T00:00:00Z,2
Llandudno,2019-01-03T00:00:00Z,24
Llandudno,2019-01-15T00:00:00Z,10
Llandudno,2019-01-22T00:00:00Z,1
Llandudno,2019-11-20T00:00:00Z,1
Llandudno,2019-12-04T00:00:00Z,1
Llandudno,2019-12-11T00:00:00Z,1
Llandudno,2020-01-08T00:00:00Z,1
Llandudno,2020-01-15T00:00:00Z,3
Llandudno,2020-01-22T00:00:00Z,1
Llandudno,2020-11-25T00:00:00Z,2
