"site_order","site_description","site_id","category","coastline","long","lat","active","site_id-2","sample_date","sample_time","analysis_completed","sample_temp_c","censored_value","numeric_value","filename","lab_code","monitoring_group"
"36","Long Beach Kommetjie","XCN02","Recreational Node","Atlantic","18.32828889","-34.13676667","True","XCN02","2025-07-04","09:56:00","2025-07-06","1.5","8","8","CWQ_125(04.07.2025).pdf","WLAB","routine"
"35","Noordhoek Beach (Hoek)","CS40","Recreational Node","Atlantic","18.35242828","-34.09751307","True","CS40","2025-07-04","10:45:00","2025-07-06","1.5","41","41","CWQ_125(04.07.2025).pdf","WLAB","routine"
"83","Noordhoek WWTW Outflow","CN29","Coastal Monitoring Point","Atlantic","18.34236","-34.126827","True","CN29","2025-07-04","10:08:00","2025-07-06","1.5","83","83","CWQ_125(04.07.2025).pdf","WLAB","routine"
"84","The Kom","XCN01","Coastal Monitoring Point","Atlantic","18.3233","-34.14173333","True","XCN01","2025-07-04","09:50:00","2025-07-06","1.5","188","188","CWQ_125(04.07.2025).pdf","WLAB","routine"
"37","Inner Kom","CS39","Recreational Node","Atlantic","18.318809","-34.144279","True","CS39","2025-07-04","09:44:00","2025-07-06","1.5","6","6","CWQ_125(04.07.2025).pdf","WLAB","routine"
"38","Scarborough Beach","XCN11","Recreational Node","Atlantic","18.37188861","-34.19988722","True","XCN11","2025-07-04","09:23:00","2025-07-06","1.5","63","63","CWQ_125(04.07.2025).pdf","WLAB","routine"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-07-04","08:18:00","2025-07-06","3.2","790","790","Oelofse G.119.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-07-04","08:10:00","2025-07-06","1.5","12","12","Infinity Environmental AD.181.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-07-04","08:05:00","2025-07-06","1.5","9","9","Infinity Environmental AD.181.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-07-04","08:17:00","2025-07-06","1.5","32","32","Infinity Environmental AD.181.pdf","WLAB","daily"
