enterococci_cfu_per_100ml,site_id,sample_time,sample_date,analysis_completed,sample_temp_c,filename
34,ICS12,13:30:00,2024-10-07,2024-10-09,8.9,2024-10-07_WALAB_Atlantic.pdf
3,ICS10,13:35:00,2024-10-07,2024-10-09,8.9,2024-10-07_WALAB_Atlantic.pdf
2,CN31,13:45:00,2024-10-07,2024-10-09,8.9,2024-10-07_WALAB_Atlantic.pdf
2,ICS15,14:15:00,2024-10-07,2024-10-09,8.9,2024-10-07_WALAB_Atlantic.pdf
8,ICS12,12:30:00,2024-10-08,2024-10-10,10.5,2024-10-08_WALAB_Atlantic.pdf
6,ICS10,12:40:00,2024-10-08,2024-10-10,10.5,2024-10-08_WALAB_Atlantic.pdf
3,CN31,12:55:00,2024-10-08,2024-10-10,10.5,2024-10-08_WALAB_Atlantic.pdf
1,ICS15,13:20:00,2024-10-08,2024-10-10,10.5,2024-10-08_WALAB_Atlantic.pdf
18,ICS12,11:00:00,2024-10-09,2024-10-11,10.3,2024-10-09_WALAB_Atlantic.pdf
16,ICS10,11:05:00,2024-10-09,2024-10-11,10.3,2024-10-09_WALAB_Atlantic.pdf
43,CN31,11:13:00,2024-10-09,2024-10-11,10.3,2024-10-09_WALAB_Atlantic.pdf
3,ICS15,11:36:00,2024-10-09,2024-10-11,10.3,2024-10-09_WALAB_Atlantic.pdf
3,ICS12,10:30:00,2024-10-10,2024-10-13,8.5,2024-10-10_WALAB_Atlantic.pdf
3,ICS10,10:40:00,2024-10-10,2024-10-13,8.5,2024-10-10_WALAB_Atlantic.pdf
4,CN31,10:50:00,2024-10-10,2024-10-13,8.5,2024-10-10_WALAB_Atlantic.pdf
1,ICS15,11:30:00,2024-10-10,2024-10-13,8.5,2024-10-10_WALAB_Atlantic.pdf
14,ICS12,11:16:00,2024-10-11,2024-10-13,9,2024-10-11_WALAB_Atlantic.pdf
3,ICS10,11:26:00,2024-10-11,2024-10-13,9,2024-10-11_WALAB_Atlantic.pdf
7,CN31,11:39:00,2024-10-11,2024-10-13,9,2024-10-11_WALAB_Atlantic.pdf
ND,ICS15,12:00:00,2024-10-11,2024-10-13,9,2024-10-11_WALAB_Atlantic.pdf
20,ICS12,12:19:00,2024-10-14,2024-10-17,7.2,2024-10-14_WALAB_Atlantic.pdf
1,ICS10,12:22:00,2024-10-14,2024-10-17,7.2,2024-10-14_WALAB_Atlantic.pdf
2,CN31,12:34:00,2024-10-14,2024-10-17,7.2,2024-10-14_WALAB_Atlantic.pdf
4,ICS15,12:57:00,2024-10-14,2024-10-17,7.2,2024-10-14_WALAB_Atlantic.pdf
3,ICS12,10:02:00,2024-10-15,2024-10-17,8,2024-10-15_WALAB_Atlantic.pdf
9,ICS10,10:14:00,2024-10-15,2024-10-17,8,2024-10-15_WALAB_Atlantic.pdf
5,CN31,10:25:00,2024-10-15,2024-10-17,8,2024-10-15_WALAB_Atlantic.pdf
4,ICS15,11:19:00,2024-10-15,2024-10-17,8,2024-10-15_WALAB_Atlantic.pdf
1,ICS12,10:30:00,2024-10-16,2024-10-19,6.9,2024-10-16_WALAB_Atlantic.pdf
3,ICS10,10:35:00,2024-10-16,2024-10-19,6.9,2024-10-16_WALAB_Atlantic.pdf
2,CN31,10:50:00,2024-10-16,2024-10-19,6.9,2024-10-16_WALAB_Atlantic.pdf
1,ICS15,11:15:00,2024-10-16,2024-10-19,6.9,2024-10-16_WALAB_Atlantic.pdf
17,ICS12,11:24:00,2024-10-17,2024-10-20,7.1,2024-10-17_WALAB_Atlantic.pdf
4,ICS10,11:27:00,2024-10-17,2024-10-20,7.1,2024-10-17_WALAB_Atlantic.pdf
147,CN31,11:38:00,2024-10-17,2024-10-20,7.1,2024-10-17_WALAB_Atlantic.pdf
ND,ICS15,11:58:00,2024-10-17,2024-10-20,7.1,2024-10-17_WALAB_Atlantic.pdf
ND,ICS12,10:10:00,2024-10-18,2024-10-21,5.4,2024-10-18_WALAB_Atlantic.pdf
1,ICS10,10:15:00,2024-10-18,2024-10-21,5.4,2024-10-18_WALAB_Atlantic.pdf
2,CN31,10:30:00,2024-10-18,2024-10-21,5.4,2024-10-18_WALAB_Atlantic.pdf
ND,ICS15,10:55:00,2024-10-18,2024-10-21,5.4,2024-10-18_WALAB_Atlantic.pdf
2,ICS12,13:15:00,2024-10-21,2024-10-24,4.8,2024-10-21_WALAB_Atlantic.pdf
3,ICS10,13:20:00,2024-10-21,2024-10-24,4.8,2024-10-21_WALAB_Atlantic.pdf
42,CN31,13:35:00,2024-10-21,2024-10-24,4.8,2024-10-21_WALAB_Atlantic.pdf
2,ICS15,14:00:00,2024-10-21,2024-10-24,4.8,2024-10-21_WALAB_Atlantic.pdf
1,ICS12,10:58:00,2024-10-22,2024-10-24,6.5,2024-10-22_WALAB_Atlantic.pdf
ND,ICS10,11:01:00,2024-10-22,2024-10-24,6.5,2024-10-22_WALAB_Atlantic.pdf
12,CN31,11:14:00,2024-10-22,2024-10-24,6.5,2024-10-22_WALAB_Atlantic.pdf
ND,ICS15,11:34:00,2024-10-22,2024-10-24,6.5,2024-10-22_WALAB_Atlantic.pdf
ND,ICS12,11:40:00,2024-10-23,2024-10-25,7.2,2024-10-23_WALAB_Atlantic_HB.pdf
9,CN31,11:20:00,2024-10-23,2024-10-25,7.2,2024-10-23_WALAB_Atlantic_HB.pdf
5,ICS15,10:05:00,2024-10-23,2024-10-25,7.2,2024-10-23_WALAB_Atlantic_HB.pdf
23,HB13,12:10:00,2024-10-23,2024-10-25,7.2,2024-10-23_WALAB_Atlantic_HB.pdf
2,XCN10,12:15:00,2024-10-23,2024-10-25,7.2,2024-10-23_WALAB_Atlantic_HB.pdf
83,ICS12,10:24:00,2024-10-24,2024-10-26,9.5,2024-10-24_WALAB_Atlantic.pdf
2,ICS10,10:24:00,2024-10-24,2024-10-26,9.5,2024-10-24_WALAB_Atlantic.pdf
5,CN31,10:37:00,2024-10-24,2024-10-26,9.5,2024-10-24_WALAB_Atlantic.pdf
ND,ICS15,11:44:00,2024-10-24,2024-10-26,9.5,2024-10-24_WALAB_Atlantic.pdf
ND,ICS12,10:25:00,2024-10-25,2024-10-27,4.5,2024-10-25_WALAB_Atlantic.pdf
4,ICS10,10:23:00,2024-10-25,2024-10-27,4.5,2024-10-25_WALAB_Atlantic.pdf
29,CN31,10:40:00,2024-10-25,2024-10-27,4.5,2024-10-25_WALAB_Atlantic.pdf
ND,ICS15,11:03:00,2024-10-25,2024-10-27,4.5,2024-10-25_WALAB_Atlantic.pdf
12,ICS12,10:20:00,2024-10-28,2024-10-31,6.5,2024-10-28_WALAB_Atlantic.pdf
16,ICS10,10:25:00,2024-10-28,2024-10-31,6.5,2024-10-28_WALAB_Atlantic.pdf
30,CN31,10:40:00,2024-10-28,2024-10-31,6.5,2024-10-28_WALAB_Atlantic.pdf
27,ICS15,10:55:00,2024-10-28,2024-10-31,6.5,2024-10-28_WALAB_Atlantic.pdf
5,ICS12,09:25:00,2024-10-29,2024-10-31,7.9,2024-10-29_WALAB_Atlantic.pdf
2,ICS10,09:32:00,2024-10-29,2024-10-31,7.9,2024-10-29_WALAB_Atlantic.pdf
8,CN31,09:42:00,2024-10-29,2024-10-31,7.9,2024-10-29_WALAB_Atlantic.pdf
3,ICS15,10:35:00,2024-10-29,2024-10-31,7.9,2024-10-29_WALAB_Atlantic.pdf
10,ICS12,10:40:00,2024-10-30,2024-11-01,6,2024-10-30_WALAB_Atlantic.pdf
15,ICS10,10:45:00,2024-10-30,2024-11-01,6,2024-10-30_WALAB_Atlantic.pdf
5,CN31,11:10:00,2024-10-30,2024-11-01,6,2024-10-30_WALAB_Atlantic.pdf
2,ICS15,11:30:00,2024-10-30,2024-11-01,6,2024-10-30_WALAB_Atlantic.pdf
9,ICS12,12:01:00,2024-10-31,2024-11-02,7.5,2024-10-31_WALAB_Atlantic.pdf
1,ICS10,11:57:00,2024-10-31,2024-11-02,7.5,2024-10-31_WALAB_Atlantic.pdf
1,CN31,12:11:00,2024-10-31,2024-11-02,7.5,2024-10-31_WALAB_Atlantic.pdf
ND,ICS15,12:53:00,2024-10-31,2024-11-02,7.5,2024-10-31_WALAB_Atlantic.pdf
5,ICS12,10:29:00,2024-11-01,2024-11-03,4.4,2024-11-01_WALAB_Atlantic.pdf
6,ICS10,10:23:00,2024-11-01,2024-11-03,4.4,2024-11-01_WALAB_Atlantic.pdf
2,CN31,10:38:00,2024-11-01,2024-11-03,4.4,2024-11-01_WALAB_Atlantic.pdf
3,ICS15,11:05:00,2024-11-01,2024-11-03,4.4,2024-11-01_WALAB_Atlantic.pdf
3,ICS12,10:59:00,2024-11-04,2024-11-07,7.2,2024-11-04_WALAB_Atlantic.pdf
4,ICS10,11:02:00,2024-11-04,2024-11-07,7.2,2024-11-04_WALAB_Atlantic.pdf
17,CN31,11:25:00,2024-11-04,2024-11-07,7.2,2024-11-04_WALAB_Atlantic.pdf
21,ICS15,11:50:00,2024-11-04,2024-11-07,7.2,2024-11-04_WALAB_Atlantic.pdf
6,ICS12,11:36:00,2024-11-05,2024-11-08,7.5,2024-11-05_WALAB_Atlantic.pdf
17,ICS10,11:40:00,2024-11-05,2024-11-08,7.5,2024-11-05_WALAB_Atlantic.pdf
3,CN31,11:46:00,2024-11-05,2024-11-08,7.5,2024-11-05_WALAB_Atlantic.pdf
2,ICS15,12:10:00,2024-11-05,2024-11-08,7.5,2024-11-05_WALAB_Atlantic.pdf
ND,ICS12,11:27:00,2024-11-06,2024-11-08,6,2024-11-06_WALAB_Atlantic.pdf
4,ICS10,11:32:00,2024-11-06,2024-11-08,6,2024-11-06_WALAB_Atlantic.pdf
2,CN31,11:38:00,2024-11-06,2024-11-08,6,2024-11-06_WALAB_Atlantic.pdf
1,ICS15,12:08:00,2024-11-06,2024-11-08,6,2024-11-06_WALAB_Atlantic.pdf
1,ICS12,11:22:00,2024-11-07,2024-11-09,6.7,2024-11-07_WALAB_Atlantic.pdf
ND,ICS10,11:29:00,2024-11-07,2024-11-09,6.7,2024-11-07_WALAB_Atlantic.pdf
ND,CN31,11:33:00,2024-11-07,2024-11-09,6.7,2024-11-07_WALAB_Atlantic.pdf
ND,ICS15,09:53:00,2024-11-07,2024-11-09,6.7,2024-11-07_WALAB_Atlantic.pdf
7,HB13,10:37:00,2024-11-07,2024-11-09,6.7,2024-11-07_WALAB_Atlantic.pdf
13,XCN10,10:48:00,2024-11-07,2024-11-09,6.7,2024-11-07_WALAB_Atlantic.pdf
ND,ICS12,10:47:00,2024-11-08,2024-11-10,6.2,2024-11-08_WALAB_Atlantic.pdf
ND,ICS10,10:44:00,2024-11-08,2024-11-10,6.2,2024-11-08_WALAB_Atlantic.pdf
4,CN31,11:01:00,2024-11-08,2024-11-10,6.2,2024-11-08_WALAB_Atlantic.pdf
ND,ICS15,11:24:00,2024-11-08,2024-11-10,6.2,2024-11-08_WALAB_Atlantic.pdf
20,HB13,10:37:00,2024-11-08,2024-11-10,6.2,2024-11-08_WALAB_Atlantic.pdf
9,XCN10,10:48:00,2024-11-08,2024-11-10,6.2,2024-11-08_WALAB_Atlantic.pdf
35,ICS12,09:36:00,2024-11-11,2024-11-13,6.3,2024-11-11_WALAB_Atlantic.pdf
2,ICS10,09:40:00,2024-11-11,2024-11-13,6.3,2024-11-11_WALAB_Atlantic.pdf
3,CN31,10:00:00,2024-11-11,2024-11-13,6.3,2024-11-11_WALAB_Atlantic.pdf
1,ICS15,10:20:00,2024-11-11,2024-11-13,6.3,2024-11-11_WALAB_Atlantic.pdf
29,HB13,09:17:00,2024-11-11,2024-11-13,6.3,2024-11-11_WALAB_Atlantic.pdf
4,XCN10,09:07:00,2024-11-11,2024-11-13,6.3,2024-11-11_WALAB_Atlantic.pdf
2,ICS12,09:09:00,2024-11-12,2024-11-14,8.5,2024-11-12_WALAB_Atlantic.pdf
3,ICS10,09:20:00,2024-11-12,2024-11-14,8.5,2024-11-12_WALAB_Atlantic.pdf
1,CN31,09:31:00,2024-11-12,2024-11-14,8.5,2024-11-12_WALAB_Atlantic.pdf
ND,ICS15,10:27:00,2024-11-12,2024-11-14,8.5,2024-11-12_WALAB_Atlantic.pdf
24,HB13,08:21:00,2024-11-12,2024-11-14,8.5,2024-11-12_WALAB_Atlantic.pdf
16,XCN10,08:11:00,2024-11-12,2024-11-14,8.5,2024-11-12_WALAB_Atlantic.pdf
2,ICS12,09:39:00,2024-11-13,2024-11-15,8,2024-11-13_WALAB_Atlantic.pdf
1,ICS10,09:36:00,2024-11-13,2024-11-15,8,2024-11-13_WALAB_Atlantic.pdf
39,CN31,09:53:00,2024-11-13,2024-11-15,8,2024-11-13_WALAB_Atlantic.pdf
73,ICS15,10:15:00,2024-11-13,2024-11-15,8,2024-11-13_WALAB_Atlantic.pdf
15,HB13,09:08:00,2024-11-13,2024-11-15,8,2024-11-13_WALAB_Atlantic.pdf
2,XCN10,08:59:00,2024-11-13,2024-11-15,8,2024-11-13_WALAB_Atlantic.pdf
ND,ICS12,09:21:00,2024-11-14,2024-11-16,4.8,2024-11-14_WALAB_Atlantic.pdf
1,ICS10,09:17:00,2024-11-14,2024-11-16,4.8,2024-11-14_WALAB_Atlantic.pdf
ND,CN31,10:31:00,2024-11-14,2024-11-16,4.8,2024-11-14_WALAB_Atlantic.pdf
9,ICS15,10:56:00,2024-11-14,2024-11-16,4.8,2024-11-14_WALAB_Atlantic.pdf
4,HB13,09:50:00,2024-11-14,2024-11-16,4.8,2024-11-14_WALAB_Atlantic.pdf
56,XCN10,09:40:00,2024-11-14,2024-11-16,4.8,2024-11-14_WALAB_Atlantic.pdf
1,ICS12,12:30:00,2024-11-15,2024-11-17,3.5,2024-11-15_WALAB_Atlantic.pdf
3,ICS10,12:34:00,2024-11-15,2024-11-17,3.5,2024-11-15_WALAB_Atlantic.pdf
3,CN31,12:50:00,2024-11-15,2024-11-17,3.5,2024-11-15_WALAB_Atlantic.pdf
7,ICS15,13:15:00,2024-11-15,2024-11-17,3.5,2024-11-15_WALAB_Atlantic.pdf
6,HB13,11:52:00,2024-11-15,2024-11-17,3.5,2024-11-15_WALAB_Atlantic.pdf
48,XCN10,11:41:00,2024-11-15,2024-11-17,3.5,2024-11-15_WALAB_Atlantic.pdf
ND,ICS12,10:15:00,2024-11-18,2024-11-20,6.4,2024-11-18_WALAB_Atlantic.pdf
ND,ICS10,10:20:00,2024-11-18,2024-11-20,6.4,2024-11-18_WALAB_Atlantic.pdf
2,CN31,10:05:00,2024-11-18,2024-11-20,6.4,2024-11-18_WALAB_Atlantic.pdf
ND,ICS15,09:40:00,2024-11-18,2024-11-20,6.4,2024-11-18_WALAB_Atlantic.pdf
8,HB13,10:55:00,2024-11-18,2024-11-20,6.4,2024-11-18_WALAB_Atlantic.pdf
19,XCN10,11:05:00,2024-11-18,2024-11-20,6.4,2024-11-18_WALAB_Atlantic.pdf
6,ICS12,12:20:00,2024-11-19,2024-11-21,6.8,2024-11-19_WALAB_Atlantic.pdf
1,ICS10,12:25:00,2024-11-19,2024-11-21,6.8,2024-11-19_WALAB_Atlantic.pdf
ND,CN31,12:44:00,2024-11-19,2024-11-21,6.8,2024-11-19_WALAB_Atlantic.pdf
ND,ICS15,13:17:00,2024-11-19,2024-11-21,6.8,2024-11-19_WALAB_Atlantic.pdf
12,HB13,11:56:00,2024-11-19,2024-11-21,6.8,2024-11-19_WALAB_Atlantic.pdf
16,XCN10,11:25:00,2024-11-19,2024-11-21,6.8,2024-11-19_WALAB_Atlantic.pdf
2,ICS12,10:48:00,2024-11-20,2024-11-22,6.5,2024-11-20_WALAB_Atlantic.pdf
ND,ICS10,10:53:00,2024-11-20,2024-11-22,6.5,2024-11-20_WALAB_Atlantic.pdf
ND,CN31,11:13:00,2024-11-20,2024-11-22,6.5,2024-11-20_WALAB_Atlantic.pdf
4,ICS15,11:42:00,2024-11-20,2024-11-22,6.5,2024-11-20_WALAB_Atlantic.pdf
26,HB13,10:16:00,2024-11-20,2024-11-22,6.5,2024-11-20_WALAB_Atlantic.pdf
17,XCN10,10:03:00,2024-11-20,2024-11-22,6.5,2024-11-20_WALAB_Atlantic.pdf
3,ICS12,11:35:00,2024-11-21,2024-11-23,6,2024-11-21_WALAB_Atlantic.pdf
