enterococci_cfu_per_100ml,site_id,sample_time,sample_date,analysis_completed,sample_temp_c,filename
1,CS30,NA,2024-10-16,2024-10-18,8.9,2024-10-16 Strand WALAB.pdf
1,CS31,NA,2024-10-30,2024-11-01,7.4,2024-10-30 Strand WALAB.pdf
1,CS31,NA,2024-11-20,2024-11-22,11,2024-11-20 Strand WALAB.pdf
1,CS31,NA,2024-11-22,2024-11-24,6,2024-11-22 Strand WALAB.pdf
1,CS30,NA,2024-11-29,2024-12-01,4.8,2024-11-29 Strand WALAB.pdf
1,CS31,NA,2024-12-06,2024-12-08,5.1,2024-12-06 Strand WALAB.pdf
1,CS31,NA,2024-12-09,2024-12-11,7,2024-12-09 Strand WALAB.pdf
1,CS31,NA,2024-12-19,2024-12-21,8.8,2024-12-19 Strand WALAB.pdf
1,CS30,07:28,2025-01-22,2025-01-24,9.1,2025-01-22 Strand WALAB.pdf
1,CS31,08:16,2025-02-20,2025-02-22,4.4,2025-02-20 Strand WALAB.pdf
1,CS30,08:15,2025-03-18,2025-03-20,7.1,2025-03-18 Strand WALAB.pdf
1,CS30,08:28,2025-03-19,2025-03-21,6.8,2025-03-19 Strand WALAB.pdf
10,CS30,NA,2024-10-18,2024-10-20,8.6,2024-10-18 Strand WALAB.pdf
10,CS30,08:31,2025-03-25,2025-03-27,6.5,2025-03-25 Strand WALAB.pdf
104,CS31,08:13,2025-02-07,2025-02-09,4.3,2025-02-07 Strand WALAB.pdf
105,CS30,NA,2024-10-07,2024-10-09,11,2024-10-07 Strand WALAB.pdf
11,CS31,NA,2024-10-24,2024-10-26,10.1,2024-10-24 Strand WALAB.pdf
11,CS31,NA,2024-11-13,2024-11-15,5.5,2024-11-13 Strand WALAB.pdf
11,CS31,12:12,2025-02-18,2025-02-20,6.2,2025-02-18 Strand WALAB.pdf
11,CS30,12:32,2025-02-25,2025-02-27,6.1,2025-02-25 Strand WALAB.pdf
