date_time,site_id,n,replicate,date,time,label
2026-06-23T10:00:00Z,XCS26,1,A,23 June,10:00:00,10:00:00A
2026-06-23T10:00:00Z,XCS34,1,A,23 June,10:00:00,10:00:00A
2026-06-23T11:00:00Z,XCS26,1,A,23 June,11:00:00,11:00:00A
2026-06-23T11:00:00Z,XCS34,1,A,23 June,11:00:00,11:00:00A
2026-06-23T12:00:00Z,XCS26,1,A,23 June,12:00:00,12:00:00A
2026-06-23T12:00:00Z,XCS34,1,A,23 June,12:00:00,12:00:00A
2026-06-23T13:00:00Z,XCS26,4,A,23 June,13:00:00,13:00:00A
2026-06-23T13:00:00Z,XCS26,4,B,23 June,13:00:00,13:00:00B
2026-06-23T13:00:00Z,XCS26,4,C,23 June,13:00:00,13:00:00C
2026-06-23T13:00:00Z,XCS26,4,D,23 June,13:00:00,13:00:00D
2026-06-23T13:00:00Z,XCS34,1,A,23 June,13:00:00,13:00:00A
2026-06-23T14:00:00Z,XCS26,1,A,23 June,14:00:00,14:00:00A
2026-06-23T14:00:00Z,XCS34,4,A,23 June,14:00:00,14:00:00A
2026-06-23T14:00:00Z,XCS34,4,B,23 June,14:00:00,14:00:00B
2026-06-23T14:00:00Z,XCS34,4,C,23 June,14:00:00,14:00:00C
2026-06-23T14:00:00Z,XCS34,4,D,23 June,14:00:00,14:00:00D
2026-06-23T15:00:00Z,XCS26,1,A,23 June,15:00:00,15:00:00A
2026-06-23T15:00:00Z,XCS34,1,A,23 June,15:00:00,15:00:00A
2026-06-23T16:00:00Z,XCS26,3,A,23 June,16:00:00,16:00:00A
2026-06-23T16:00:00Z,XCS26,3,B,23 June,16:00:00,16:00:00B
2026-06-23T16:00:00Z,XCS26,3,C,23 June,16:00:00,16:00:00C
2026-06-23T16:00:00Z,XCS34,1,A,23 June,16:00:00,16:00:00A
2026-06-23T17:00:00Z,XCS26,1,A,23 June,17:00:00,17:00:00A
2026-06-23T17:00:00Z,XCS34,3,A,23 June,17:00:00,17:00:00A
2026-06-23T17:00:00Z,XCS34,3,B,23 June,17:00:00,17:00:00B
2026-06-23T17:00:00Z,XCS34,3,C,23 June,17:00:00,17:00:00C
2026-06-23T18:00:00Z,XCS26,1,A,23 June,18:00:00,18:00:00A
2026-06-23T18:00:00Z,XCS34,1,A,23 June,18:00:00,18:00:00A
2026-06-23T19:00:00Z,XCS26,1,A,23 June,19:00:00,19:00:00A
2026-06-23T19:00:00Z,XCS34,1,A,23 June,19:00:00,19:00:00A
2026-06-23T20:00:00Z,XCS26,1,A,23 June,20:00:00,20:00:00A
2026-06-23T20:00:00Z,XCS34,1,A,23 June,20:00:00,20:00:00A
2026-06-23T21:00:00Z,XCS26,1,A,23 June,21:00:00,21:00:00A
2026-06-23T21:00:00Z,XCS34,1,A,23 June,21:00:00,21:00:00A
2026-06-23T22:00:00Z,XCS26,4,A,23 June,22:00:00,22:00:00A
2026-06-23T22:00:00Z,XCS26,4,B,23 June,22:00:00,22:00:00B
2026-06-23T22:00:00Z,XCS26,4,C,23 June,22:00:00,22:00:00C
2026-06-23T22:00:00Z,XCS26,4,D,23 June,22:00:00,22:00:00D
2026-06-23T22:00:00Z,XCS34,1,A,23 June,22:00:00,22:00:00A
2026-06-23T23:00:00Z,XCS26,1,A,23 June,23:00:00,23:00:00A
2026-06-23T23:00:00Z,XCS34,4,A,23 June,23:00:00,23:00:00A
2026-06-23T23:00:00Z,XCS34,4,B,23 June,23:00:00,23:00:00B
2026-06-23T23:00:00Z,XCS34,4,C,23 June,23:00:00,23:00:00C
2026-06-23T23:00:00Z,XCS34,4,D,23 June,23:00:00,23:00:00D
2026-06-24T00:00:00Z,XCS26,1,A,24 June,00:00:00,00:00:00A
2026-06-24T00:00:00Z,XCS34,1,A,24 June,00:00:00,00:00:00A
2026-06-24T01:00:00Z,XCS26,1,A,24 June,01:00:00,01:00:00A
2026-06-24T01:00:00Z,XCS34,1,A,24 June,01:00:00,01:00:00A
2026-06-24T02:00:00Z,XCS26,1,A,24 June,02:00:00,02:00:00A
2026-06-24T02:00:00Z,XCS34,1,A,24 June,02:00:00,02:00:00A
2026-06-24T03:00:00Z,XCS26,1,A,24 June,03:00:00,03:00:00A
2026-06-24T03:00:00Z,XCS34,1,A,24 June,03:00:00,03:00:00A
2026-06-24T04:00:00Z,XCS26,3,A,24 June,04:00:00,04:00:00A
2026-06-24T04:00:00Z,XCS26,3,B,24 June,04:00:00,04:00:00B
2026-06-24T04:00:00Z,XCS26,3,C,24 June,04:00:00,04:00:00C
2026-06-24T04:00:00Z,XCS34,1,A,24 June,04:00:00,04:00:00A
2026-06-24T05:00:00Z,XCS26,1,A,24 June,05:00:00,05:00:00A
2026-06-24T05:00:00Z,XCS34,3,A,24 June,05:00:00,05:00:00A
2026-06-24T05:00:00Z,XCS34,3,B,24 June,05:00:00,05:00:00B
2026-06-24T05:00:00Z,XCS34,3,C,24 June,05:00:00,05:00:00C
2026-06-24T06:00:00Z,XCS26,1,A,24 June,06:00:00,06:00:00A
2026-06-24T06:00:00Z,XCS34,1,A,24 June,06:00:00,06:00:00A
2026-06-24T07:00:00Z,XCS26,1,A,24 June,07:00:00,07:00:00A
2026-06-24T07:00:00Z,XCS34,1,A,24 June,07:00:00,07:00:00A
2026-06-24T08:00:00Z,XCS26,1,A,24 June,08:00:00,08:00:00A
2026-06-24T08:00:00Z,XCS34,1,A,24 June,08:00:00,08:00:00A
2026-06-24T09:00:00Z,XCS26,1,A,24 June,09:00:00,09:00:00A
2026-06-24T09:00:00Z,XCS34,1,A,24 June,09:00:00,09:00:00A
2026-06-24T10:00:00Z,XCS26,4,A,24 June,10:00:00,10:00:00A
2026-06-24T10:00:00Z,XCS26,4,B,24 June,10:00:00,10:00:00B
2026-06-24T10:00:00Z,XCS26,4,C,24 June,10:00:00,10:00:00C
