site_description,site_id,long,lat,sample_date,sample_time,analysis_completed,sample_id,sample_temp_c,enterococci_cfu_per_100ml,filename,lab_code,sample_type
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,FB001,8.1,ND,M0487.pdf,SABS,field control
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,CN11D,8.3,ND,M0487.pdf,SABS,field sample
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,CN11E,8.5,ND,M0487.pdf,SABS,field sample
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,CN11F,8.3,ND,M0487.pdf,SABS,field sample
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,LB001,8.2,ND,M0487.pdf,SABS,lab control
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,FB001,NA,<1,Coastal adhocs 2025-04-01.pdf,SSB,field control
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,CN11,NA,185,Coastal adhocs 2025-04-01.pdf,SSB,field sample
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,CN11,NA,111,Coastal adhocs 2025-04-01.pdf,SSB,field sample
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,CN11,NA,184,Coastal adhocs 2025-04-01.pdf,SSB,field sample
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,NA,LB001,NA,<1,Coastal adhocs 2025-04-01.pdf,SSB,lab control
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,10:41:00,2025-04-03,FB001,7.1,ND,Infinity Environmental AD.92(CN).pdf,WLAB,field control
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,10:50:00,2025-04-03,CN11A,7.1,ND,Infinity Environmental AD.92(CN).pdf,WLAB,field sample
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,10:50:00,2025-04-03,CN11B,7.1,ND,Infinity Environmental AD.92(CN).pdf,WLAB,field sample
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,10:50:00,2025-04-03,CN11C,7.1,ND,Infinity Environmental AD.92(CN).pdf,WLAB,field sample
Camps Bay South,CN11,18.37566417,-33.95262556,2025-04-01,NA,2025-04-03,LB001,7.1,ND,Infinity Environmental AD.92(CN).pdf,WLAB,lab control
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,NA,NA,FB001,5.1,ND,M0506.pdf,SABS,field control
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,NA,NA,CS34D,5.2,ND,M0506.pdf,SABS,field sample
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,NA,NA,CS34E,5.1,ND,M0506.pdf,SABS,field sample
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,NA,NA,CS34F,5,ND,M0506.pdf,SABS,field sample
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,NA,NA,FB001,NA,<1,coastal adhocs 2025-04-03.pdf,SSB,field control
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,NA,NA,CS34,NA,291,coastal adhocs 2025-04-03.pdf,SSB,field sample
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,NA,NA,CS34,NA,192,coastal adhocs 2025-04-03.pdf,SSB,field sample
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,NA,NA,CS34,NA,308,coastal adhocs 2025-04-03.pdf,SSB,field sample
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,09:15:00,2025-04-05,FB001,5.6,ND,Infinity Environmental AD.94(CS).pdf,WLAB,field control
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,09:23:00,2025-04-05,CS34A,5.6,3,Infinity Environmental AD.94(CS).pdf,WLAB,field sample
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,09:23:00,2025-04-05,CS34B,5.6,5,Infinity Environmental AD.94(CS).pdf,WLAB,field sample
Muizenberg Surfers Corner,CS34,18.470834,-34.108983,2025-04-03,09:23:00,2025-04-05,CS34C,5.6,8,Infinity Environmental AD.94(CS).pdf,WLAB,field sample
Milnerton Lighthouse,XCN04,18.48665,-33.88135,2025-04-07,NA,NA,FB001,7.8,ND,M0518.pdf,SABS,field control
Milnerton Lighthouse,XCN04,18.48665,-33.88135,2025-04-07,NA,NA,XCN04G,7.7,16,M0518.pdf,SABS,field sample
Milnerton Lighthouse,XCN04,18.48665,-33.88135,2025-04-07,NA,NA,XCN04H,7.5,15,M0518.pdf,SABS,field sample
Milnerton Lighthouse,XCN04,18.48665,-33.88135,2025-04-07,NA,NA,XCN04I,7.3,17,M0518.pdf,SABS,field sample
Milnerton Lighthouse,XCN04,18.48665,-33.88135,2025-04-07,NA,NA,FB001,NA,<1,Coastal adhocs 2025-04-07.pdf,SSB,field control
Milnerton Lighthouse,XCN04,18.48665,-33.88135,2025-04-07,NA,NA,XCN04,NA,73,Coastal adhocs 2025-04-07.pdf,SSB,field sample
Milnerton Lighthouse,XCN04,18.48665,-33.88135,2025-04-07,NA,NA,XCN04,NA,65,Coastal adhocs 2025-04-07.pdf,SSB,field sample
Milnerton Lighthouse,XCN04,18.48665,-33.88135,2025-04-07,NA,NA,XCN04,NA,50,Coastal adhocs 2025-04-07.pdf,SSB,field sample
